,Trial#,Optimal,Obj_PartWeight,Obj_Warp-ThickWall,Obj_Warp-ThinWall,Obj_WMAPE,Sugg-rDiffPSP-P-P2,Sugg-rDiffPSP-P-P3,Sugg-rDiffPSP-P-P4,Sugg-rDiffPSP-P-P5,Sugg-rDiffPSP-P-t1,Sugg-rDiffPSP-P-t2,Sugg-rDiffPSP-P-t3,Sugg-rDiffPSP-P-t4,Sugg-rDiffPSP-P-t5,Sugg-rDiffPSP-P-t6,Sugg-rDiffPSP-T-T1,Sugg-rDiffPSP-T-T2,Sugg-rDiffPSP-T-t1,Sugg-rDiffPSP-T-t2,Sugg-rDiffPSP-T-t3,Pred_PartWeight (g),Pred_Warp-ThickWall (mm),Pred_Warp-ThinWall (mm),Opt_ClntTemp,Opt_InjSpd,Opt_PackPres,Opt_PackTime,Feas-DiffPSP-P-t1,Feas-DiffPSP-P-t2,Feas-DiffPSP-P-t3,Feas-DiffPSP-P-t4,Feas-DiffPSP-P-t5,Feas-DiffPSP-P-t6,Feas-DiffPSP-P-P1,Feas-DiffPSP-P-P2,Feas-DiffPSP-P-P3,Feas-DiffPSP-P-P4,Feas-DiffPSP-P-P5,Feas-DiffPSP-P-P6,Feas-DiffPSP-T-t1,Feas-DiffPSP-T-t2,Feas-DiffPSP-T-t3,Feas-DiffPSP-T-T1,Feas-DiffPSP-T-T2,Feas-DiffPSP-T-T3
2837,2837,False,0.0016244713235016607,0.026455947331019813,0.007350550359669651,0.14841102314912746,0.05726201637394129,0.2829999308884539,0.01755828068924948,-0.0451315676971854,0.005302775123317112,0.01553216343664078,0.004696569923084094,0.005224943571040863,0.038551381956662106,0.02650995915471739,0.15269109176453613,0.05852629662039029,0.021578944785224125,0.0054115221682154374,0.13948728770874153,37.067253,-1.925993,-0.70969564,0.37730656888699343,0.47118980092705803,0.4739994820319915,0.0488630572028529,0.006147744,0.017441161,0.004343596,0.0037585348,0.040094145,0.055472784,0.0029830085,0.05748927,0.255911,0.01961141,-0.02693607,-0.30301428,0.023806442,0.0058053024,0.13759084,0.1654634,0.0625178,-0.040080197
2838,2838,False,0.015952068826426632,0.02011264091009622,0.010114638438686567,0.15949343344605807,0.05726201637394129,0.1907116947100474,0.05872584924510044,-0.04542277751031461,0.005069752242442969,0.0212448801089506,0.003644206696215585,0.002033023487271781,0.06373717551886596,0.06761502142980097,0.24677130727305507,0.055686214930071344,0.02890998850813615,0.006075288616734502,0.13093679268460268,37.660416,-1.4642003,0.97656834,0.5996744696871292,0.3892111834115278,0.40730711483815396,0.06485115972490994,0.0053923074,0.020664595,0.0054041785,0.0038773343,0.06044906,0.05490718,0.0026622238,0.05071509,0.20878975,0.017151635,-0.025703598,-0.24824697,0.027167317,0.0058977194,0.1604642,0.24578117,0.053744152,-0.03404999
2839,2839,False,0.007672517195991848,0.02117354954992022,0.0004775564421155427,0.10858533999162967,0.05723939288787078,0.2851499160428149,0.06301949131615983,-0.027323184831390165,0.00511088337043989,0.015996738572588962,0.004549964145694204,0.007423277142716697,0.03388390088253665,0.05030033749413412,0.16246009490056584,0.05300724276799329,0.0256525250597666,0.006226237063048697,0.13948728770874153,37.317642,-1.5414344,-0.046108074,0.4246715436761681,0.5291317893623939,0.49120853140263004,0.04395718193852461,0.005788775,0.015562755,0.0040991926,0.0045267567,0.03480355,0.057433046,0.0029750476,0.057061084,0.2696152,0.022486819,-0.028143674,-0.31858253,0.021479627,0.006537769,0.13931683,0.1809027,0.06186127,-0.040299594
2840,2840,False,0.01720262610394022,0.015707810173977863,0.00012739518573406383,0.21126114463504944,0.05726201637394129,0.2829999308884539,0.061530473531373815,-0.0451315676971854,0.0051918653241841495,0.01553216343664078,0.004696569923084094,0.005224943571040863,0.06003715514566919,0.02650995915471739,0.15269109176453613,0.055686214930071344,0.0256525250597666,0.0054115221682154374,0.16599009039688817,37.71219,-1.1435286,0.012300005,0.35356982806134424,0.5044212220426643,0.4999834591764778,0.0650114360966363,0.007229181,0.014772788,0.004435539,0.004193846,0.056814123,0.063254856,0.0047402857,0.05814851,0.27796245,0.019352615,-0.025396153,-0.32664144,0.021963537,0.0065129213,0.13457447,0.15823208,0.0642021,-0.04191121
2841,2841,False,0.022988803144814312,0.014805765924872934,0.004099424733577276,0.21385743049442005,0.05726201637394129,0.2829999308884539,0.061530473531373815,-0.021035744126243407,0.005153849565848549,0.020422733896905985,0.004549964145694204,0.007423277142716697,0.06003715514566919,0.02650995915471739,0.15269109176453613,0.06292214054906015,0.0256525250597666,0.00639421364584008,0.16599009039688817,37.951736,-1.0778598,0.39579946,0.5630763245811333,0.5026368798958031,0.4906308200783354,0.06532760190398566,0.004597606,0.015647748,0.004649986,0.004558429,0.05783001,0.067425445,0.0035797795,0.05285514,0.2747809,0.021511704,-0.025661953,-0.32245883,0.022271883,0.007438913,0.1496261,0.23125772,0.05706626,-0.037920665
2842,2842,False,0.0020842621291893115,0.027062087268619747,0.004192765730764506,0.12142630225444671,0.048352480398230535,0.1907116947100474,0.061530473531373815,-0.018945024958791825,0.005551012481005563,0.015730558917949795,0.005055824556278583,0.007423277142716697,0.04148975794260768,0.0576755430740529,0.24677130727305507,0.05403745073174418,0.024999894864870482,0.0054115221682154374,0.13164423595710276,37.08629,-1.97012,0.40481153,0.5769952351868933,0.4445501095273204,0.4410524589900507,0.04632826840158947,0.004421765,0.019169599,0.0046259523,0.004147496,0.04034059,0.05484493,0.0019356525,0.052578792,0.2328388,0.0206494,-0.02766608,-0.27669868,0.024983851,0.005942818,0.15490207,0.23555832,0.055399485,-0.035336368
2843,2843,False,0.017798603444859604,0.017068065129793607,0.0008174527777963695,0.21990382016661378,0.052242731081625735,0.2829999308884539,0.061530473531373815,-0.0451315676971854,0.005302775123317112,0.01553216343664078,0.004795662225087132,0.003417103535653848,0.06003715514566919,0.02650995915471739,0.15269109176453613,0.05852629662039029,0.0256525250597666,0.00639421364584008,0.16599009039688817,37.736862,-1.2425551,0.078925066,0.4589864633700988,0.5562777964533617,0.49975964019867314,0.06395018333492862,0.0059039984,0.0137812095,0.0040349592,0.0046972744,0.055764697,0.06553542,0.0038337847,0.055936046,0.27930802,0.021862596,-0.026691843,-0.3281874,0.020010907,0.0069576018,0.14012425,0.19334303,0.061210066,-0.04060355
2844,2844,True,0.016886577514058726,0.017987507712710037,0.0044845463635698,0.08677332826691388,0.052242731081625735,0.2851499160428149,0.01755828068924948,-0.027323184831390165,0.00511088337043989,0.01749319409684195,0.005312830468201763,0.007423277142716697,0.04148975794260768,0.07022530399988935,0.15269109176453613,0.0541737371432288,0.02590378759257262,0.006226237063048697,0.13334195735690194,37.699104,-1.3094906,0.43298295,0.31572036809386783,0.4610986963859156,0.49246291104577605,0.049622502726991834,0.0068742204,0.016337704,0.0046759783,0.0037478171,0.040970262,0.056617573,0.0046415767,0.058767896,0.2696089,0.019509956,-0.026494706,-0.3180114,0.024457023,0.0062945634,0.13373,0.14651522,0.06449784,-0.041637048
2845,2845,True,0.006636559675281175,0.012733373831916642,0.00768228925490614,0.2314110855779618,0.05862489295927456,0.27365029035501476,0.07463974970617912,-0.021035744126243407,0.00511088337043989,0.017057287782270406,0.005312830468201763,0.007423277142716697,0.06522079082293294,0.021220034812252937,0.23235861026532528,0.0541737371432288,0.028692333142755388,0.006075288616734502,0.13164423595710276,37.274754,-0.9269896,0.741725,0.5096940753903151,0.6140074093821636,0.4916133233446027,0.06634083787039756,0.004813323,0.0117593445,0.0036444054,0.004602611,0.06030961,0.06634774,0.0041442355,0.054272622,0.27271006,0.023385536,-0.028698478,-0.320394,0.018539209,0.0069760345,0.14223954,0.21194465,0.05973032,-0.040078375
2846,2846,True,0.0038583727850430255,0.025385077838059312,0.00048465266677149215,0.0810763668203017,0.048352480398230535,0.2851499160428149,0.01755828068924948,-0.018945024958791825,0.00511088337043989,0.014472373974383258,0.00434275939318352,0.004369436272469682,0.03388390088253665,0.05030033749413412,0.15269109176453613,0.055231077322576094,0.024999894864870482,0.0054115221682154374,0.13334195735690194,37.159737,-1.8480337,0.046793215,0.4519782958507821,0.42214204781146075,0.49849742231511873,0.04454123459541713,0.0059141386,0.018670548,0.004721629,0.0045331977,0.034433685,0.05986876,0.0026391791,0.056667272,0.27808788,0.02072978,-0.025142446,-0.3282482,0.024918828,0.007090807,0.14333753,0.18988054,0.06001859,-0.03895689
