,Trial#,Optimal,Obj_PartWeight,Obj_Warp-ThickWall,Obj_Warp-ThinWall,Obj_WMAPE,Sugg-rDiffPSP-P-P2,Sugg-rDiffPSP-P-P3,Sugg-rDiffPSP-P-P4,Sugg-rDiffPSP-P-P5,Sugg-rDiffPSP-P-t1,Sugg-rDiffPSP-P-t2,Sugg-rDiffPSP-P-t3,Sugg-rDiffPSP-P-t4,Sugg-rDiffPSP-P-t5,Sugg-rDiffPSP-P-t6,Sugg-rDiffPSP-T-T1,Sugg-rDiffPSP-T-T2,Sugg-rDiffPSP-T-t1,Sugg-rDiffPSP-T-t2,Sugg-rDiffPSP-T-t3,Pred_PartWeight (g),Pred_Warp-ThickWall (mm),Pred_Warp-ThinWall (mm),Opt_ClntTemp,Opt_InjSpd,Opt_PackPres,Opt_PackTime,Feas-DiffPSP-P-t1,Feas-DiffPSP-P-t2,Feas-DiffPSP-P-t3,Feas-DiffPSP-P-t4,Feas-DiffPSP-P-t5,Feas-DiffPSP-P-t6,Feas-DiffPSP-P-P1,Feas-DiffPSP-P-P2,Feas-DiffPSP-P-P3,Feas-DiffPSP-P-P4,Feas-DiffPSP-P-P5,Feas-DiffPSP-P-P6,Feas-DiffPSP-T-t1,Feas-DiffPSP-T-t2,Feas-DiffPSP-T-t3,Feas-DiffPSP-T-T1,Feas-DiffPSP-T-T2,Feas-DiffPSP-T-T3
105,105,False,0.02195284562410364,0.02305709398709811,0.0012418642400892704,0.12818751413931687,0.05598548807933065,0.2851499160428149,0.051803792214982096,-0.03668438620090346,0.005651663432033191,0.02100348684577485,0.00434275939318352,0.007423277142716697,0.034575657851957,0.07022530399988935,0.16890757367853204,0.06407866657321494,0.022106428488460873,0.006448473031106623,0.15346305243812014,37.908848,-1.6785564,0.11990199,0.4327411284518144,0.6243387016591125,0.49054780711052676,0.04050526691249335,0.0052976776,0.012431689,0.0035703802,0.0047020614,0.034082763,0.056400828,0.0034625335,0.05671505,0.26687178,0.025036197,-0.031081047,-0.3155799,0.018490035,0.006616205,0.13760951,0.18363266,0.062449574,-0.04119054
106,106,False,0.000780446517870622,0.030081432599287767,0.00530431024896117,0.06740998274094197,0.053015036681271374,0.2853421472075962,0.01755828068924948,-0.04202386596548205,0.005058086522651934,0.014472373974383258,0.0033581302172023264,0.0033310474561038285,0.026928605905509374,0.05030033749413412,0.19181338090112335,0.05607204610117719,0.0256525250597666,0.006165599631779329,0.13948728770874153,36.96769,-2.1899283,-0.51213115,0.42554029635528834,0.5050053840121664,0.46359885399265427,0.035227568449465126,0.005291911,0.017405745,0.0040229415,0.0040386766,0.0265727,0.05106762,0.0018861322,0.05675223,0.24624842,0.021990322,-0.029342318,-0.29305992,0.022723416,0.005627185,0.14067633,0.18087198,0.061183,-0.03913763
107,107,False,0.018397068631821785,0.027668092932019914,0.005171694390086051,0.13687637209406073,0.04942081057662929,0.28388061093491723,0.06744476012502981,-0.019199954415930306,0.005060590809533773,0.014630697257251357,0.004139726556739953,0.005280866668753811,0.034575657851957,0.07022530399988935,0.23235861026532528,0.06650774805390283,0.022106428488460873,0.006004215254119741,0.16517118100505096,37.76164,-2.0142372,0.4993271,0.5315488289968373,0.47973557523654703,0.4852870256533977,0.045473893753745456,0.0046607647,0.017328389,0.004401157,0.0046186373,0.03723547,0.06014064,0.0023886906,0.05439344,0.2676983,0.02233617,-0.026974142,-0.31621143,0.023197338,0.00693937,0.14821966,0.21820846,0.057805628,-0.0376852
108,108,False,0.00918678615404212,0.023371690249705052,0.0030530051577591266,0.12162075682893844,0.05605260040759465,0.2525819457966051,0.043985133209525,-0.018945024958791825,0.005001802495534859,0.0184522369037372,0.0036928343667233196,0.005062018028960348,0.050850463197265494,0.03260086381556711,0.19779520495739863,0.06255280804656543,0.027195254131321393,0.005362682121270073,0.14002071261279342,37.380333,-1.701459,0.29476765,0.48146942215254934,0.5063490099243241,0.469802972948006,0.059899663303789936,0.0054450724,0.016517498,0.0041137696,0.0041211545,0.051760487,0.06077049,0.0025815135,0.055190396,0.2555739,0.020165043,-0.026766855,-0.30181348,0.022166433,0.0060084388,0.14401533,0.20125784,0.05947051,-0.038507376
109,109,False,0.012593568811094127,0.024734779701128112,0.004377166635937051,0.10262833162267843,0.0507333143488922,0.27849750290802733,0.051803792214982096,-0.021035744126243407,0.005107026178345611,0.020541493586123255,0.005664348510912512,0.0017488327305665466,0.041620086710584855,0.052083075941604697,0.18516962540591758,0.06050739008064143,0.021920417619800844,0.006448473031106623,0.15346305243812014,37.521374,-1.800692,0.42261544,0.3963684241459699,0.4587574833991524,0.4811724659817657,0.050962236984581036,0.006213004,0.017672563,0.0044271857,0.0039391518,0.04176856,0.057727054,0.0029579746,0.05733189,0.262753,0.019522255,-0.026103772,-0.31056917,0.024020053,0.0060692616,0.13895595,0.17177393,0.0618797,-0.039812505
110,110,False,0.028793685102232413,0.0184255478146312,0.002893090618514817,0.13520720291489166,0.04942081057662929,0.28388061093491723,0.045225114912612316,-0.042072115760963424,0.005164932769425868,0.012916496045465638,0.004139726556739953,0.007333346608540455,0.05448636334287259,0.05285608205639936,0.17077256763920318,0.06666979951952044,0.028539556333742416,0.005762688276394393,0.16517118100505096,38.19206,-1.3413799,0.2793279,0.3604131065378805,0.5796181011896931,0.473272324832628,0.060492866100999965,0.0064448584,0.013508902,0.0038540862,0.0039047897,0.054537795,0.057985127,0.0040380238,0.05732715,0.25447473,0.02045719,-0.028540738,-0.30060205,0.019634392,0.0058690496,0.13383709,0.1596926,0.064493,-0.041770373
111,111,False,0.012618170844184028,0.029860174917912746,0.004351549602925376,0.09032348811479204,0.049397503923016145,0.19844113565796723,0.03049125256783291,-0.0377489751168544,0.005163578406359011,0.017389339470744378,0.00411587097473307,0.0029066200258569446,0.045511785315412286,0.03664556863194278,0.18189926076180074,0.06622769756521112,0.028558066579396805,0.006467792483081766,0.15642979677140484,37.522392,-2.1738207,-0.4201421,0.45025822876314736,0.5789189319112749,0.4009662273851733,0.050245864976242775,0.005042998,0.015009681,0.0034382981,0.0036427714,0.044099335,0.04553623,0.0020369506,0.05445133,0.1948851,0.022196278,-0.03334649,-0.23552813,0.020031657,0.004725013,0.14195277,0.19008134,0.06060034,-0.03858418
112,112,False,0.008521886263492602,0.020710221686206023,0.003731386887477754,0.11705735979640775,0.0523578489576665,0.2679043223712144,0.051803792214982096,-0.021274794366219003,0.005047246847435047,0.016705158005434297,0.004589587689126764,0.007423277142716697,0.045511785315412286,0.04383225328084514,0.18516962540591758,0.05898004244480508,0.023164279864819018,0.006448473031106623,0.13164423595710276,37.352806,-1.5077041,0.3602654,0.4552404675857352,0.4776836615782584,0.4818962325651271,0.05229127500820398,0.0057206694,0.017334593,0.004310843,0.0042595267,0.0431733,0.059706584,0.0025576958,0.05617097,0.264537,0.020434763,-0.026274841,-0.3124418,0.023117969,0.0063103437,0.14258476,0.19157512,0.060224917,-0.038972706
113,113,False,0.003569414074294233,0.023359705458630572,0.0023639293176284546,0.15121665707160228,0.05950297390538821,0.2166802034803803,0.04052446254513291,-0.04392781180093135,0.0051977044249233995,0.021593881884723814,0.003461245356030122,0.00236537967493678,0.06214107311366588,0.028853653649467147,0.2233137567144744,0.055976631180705054,0.021896020502659937,0.006391303907065494,0.13921019831048773,37.147774,-1.7005866,0.22823738,0.482288692074159,0.5376189343003165,0.40916433280700953,0.06658832110675166,0.005372191,0.015974244,0.0036858586,0.0035963636,0.059940014,0.05256187,0.0022850772,0.053752244,0.20540851,0.019559085,-0.030048717,-0.24595505,0.021381518,0.0049034767,0.14516588,0.20223118,0.059077464,-0.037611432
114,114,False,0.019648270906457578,0.020097539975092962,0.006758711117033758,0.1575756492774396,0.05026255969681805,0.16407248237794608,0.07279465513351038,-0.019030277016682837,0.0051977044249233995,0.015730558917949795,0.004969541219898763,0.005643258633104516,0.06326578024966958,0.04134568018497421,0.14762363143343413,0.06440464102166514,0.023191423999917186,0.005769747161915564,0.13093679268460268,37.81344,-1.4631009,0.65255356,0.3460568922207717,0.5695744448605742,0.3634130340012143,0.05830122405799131,0.005225176,0.01473202,0.0036787787,0.0031146016,0.054228347,0.038079407,0.0028861044,0.053540543,0.1613244,0.021472018,-0.034688648,-0.19939187,0.020116631,0.005350467,0.13434781,0.15353593,0.064215906,-0.040754676
